city,town,district,neighborhood
sivas,merkez,merkez-koyler,saban koyu
elazig,merkez,merkezkoyler,solhunpinar mah (karacavus koyu)
bitlis,ahlat,ovakisla,otluyazi koyu
batman,besiri,merkezkoyler,deveboynu koyu
mugla,milas,merkez,kiyikislacik mah
kahramanmaras,afsin,merkez,alpaslan mah
hatay,reyhanli,merkez,gazimurseltepesi mah
sirnak,uludere,merkezkoyler,inceler koyu
artvin,yusufeli,merkezkoyler,colakoglu mah (pamukcular koyu)
samsun,havza,merkez,kocapinar mah
antalya,elmali,merkez,yalnizdam mah
kutahya,dumlupinar,merkez,turgut ozal mah
ordu,persembe,merkez,yenioz mah
yozgat,sarikaya,merkezkoyler,pinarkaya koyu
tokat,pazar,merkezkoyler,ciftlikkoy koyu
konya,ilgin,merkez,cigil mah
kastamonu,merkez,merkezkoyler,san mah (obruk koyu)
kutahya,tavsanli,merkezkoyler,karapelit koyu
mugla,koycegiz,merkez,akkopru mah
trabzon,akcaabat,merkez,yesilyurt mah
elazig,sivrice,merkezkoyler,uclerce koyu
elazig,kovancilar,merkezkoyler,konakli mah (degirmentasi koyu)
van,ozalp,merkez,sugecer mah
mersin,silifke,merkez,balandiz mah
sakarya,hendek,merkez,sumbullu mah
siirt,pervari,merkezkoyler,umurlu mah (palamutlu koyu)
batman,besiri,merkezkoyler,kurukavak koyu
sakarya,erenler,merkez,alancuma mah
bayburt,merkez,merkezkoyler,karsigecit koyu
nigde,bor,merkez,baspinar mah
giresun,guce,merkezkoyler,derebuku mah (boncukcukur koyu)
agri,patnos,dedeli,yukaridamla koyu
ankara,golbasi,merkez,subasi mah
mugla,bodrum,merkez,yali mah
nigde,ulukisla,merkezkoyler,kume2 mah (gumuskoy koyu)
balikesir,kepsut,servet,karagoz mah
kirklareli,pinarhisar,merkezkoyler,erenler koyu
kahramanmaras,dulkadiroglu,agabeyli,budakli mah
agri,dogubayazit,merkezkoyler,somkaya koyu
bartin,merkez,kozcagiz,cakirlar mah (ellibas koyu)
samsun,vezirkopru,merkez,kizilcakoru mah
osmaniye,merkez,ataturk,karacay mah
kahramanmaras,dulkadiroglu,sanayi,mehmet akif mah
izmir,aliaga,merkez,bahcedere mah
sakarya,hendek,merkez,bakacak mah
gaziantep,sahinbey,hosgor,gumustekin mah
usak,merkez,merkezkoyler,karakaya mah (derbent koyu)
ankara,cubuk,merkez,cumhuriyet mah
gaziantep,oguzeli,merkez,catalcam mah
samsun,bafra,merkez,baliklar mah
bingol,merkez,agaceli,derince mah (cobantasi koyu)
diyarbakir,bismil,merkez,goksu mah
zonguldak,kilimli,merkezkoyler,cumhuriyet mah (muslu koyu)
sanliurfa,siverek,merkez,bati mah
sanliurfa,eyyubiye,merkez,ozlu mah
konya,selcuklu,merkez,dagdere mah
zonguldak,eregli,ormanli,mursalli mah (kaymaklar koyu)
edirne,merkez,edirne,saricapasa mah
kayseri,kocasinan,ankarayolu koyler,oymaagac mah
sivas,zara,merkezkoyler,yarimkaya koyu
antalya,muratpasa,genclik,demircikara mah
antalya,gundogmus,merkez,fatih mah
giresun,tirebolu,merkezkoyler,yukari cinarcik mah (kuzgun koyu)
igdir,tuzluca,merkezkoyler,baglan koyu
giresun,merkez,merkezkoyler,aliogullari mah (yaykinlik koyu)
sivas,hafik,merkezkoyler,sarimsak mah (kizilcaoren koyu)
mardin,artuklu,istasyon,ozluce mah
kastamonu,tosya,merkezkoyler,cay mah (kilkuyu koyu)
batman,sason,merkezkoyler,yuvalar koyu
usak,merkez,merkezkoyler,merkez mah.  mah (nadara mah) (gokcedal koyu)
sanliurfa,siverek,merkez,yenisehir mah
hakkari,yuksekova,merkezkoyler,kayakonak mah (bagdas koyu)
sirnak,beytussebap,merkezkoyler,pirincli koyu
antalya,kepez,yeniemek,duaci mah
tokat,artova,merkezkoyler,saglica koyu
kastamonu,kure,merkezkoyler,asagi catak mah (catak koyu)
giresun,dereli,merkezkoyler,merkez mah (yuce koyu)
kastamonu,pinarbasi,merkezkoyler,yeni mah (karafasil koyu)
bursa,osmangazi,alemdar,sirameseler mah
samsun,vezirkopru,merkez,avdan mah
corum,iskilip,merkezkoyler,kutluozu koyu
bursa,mustafakemalpasa,merkez,yavelli mah
ordu,altinordu,saraycik,bayramli mah
sinop,duragan,merkezkoyler,merkez mah (kirencik koyu)
ankara,sereflikochisar,merkez,catcat mah
mersin,tarsus,yukari koyler,ciftlik mah
sakarya,adapazari,merkez,tigcilar mah
artvin,yusufeli,merkezkoyler,cami mah (kupluce koyu)
mugla,yatagan,merkez,elmacik mah
usak,esme,merkezkoyler,tepeli mah (koseler koyu)
mersin,toroslar,merkez,arpacsakarlar mah
bayburt,merkez,bayburt,esentepe mah
aydin,cine,merkez,kirazderesi mah
kastamonu,abana,merkezkoyler,karahacilar mah (campinar koyu)
mus,bulanik,erentepe,karakaya mah (cankurtaran koyu)
bitlis,mutki,merkezkoyler,dereonu mah (erler koyu)
karabuk,eflani,merkezkoyler,celebioglu mah (baglica koyu)
kastamonu,merkez,merkezkoyler,vayisli mah (kirenli koyu)
karabuk,eflani,merkezkoyler,merkez mah (cavuslu koyu)
sivas,gemerek,merkezkoyler,kuskayasi mah (talazoglu koyu)
bolu,mengen,merkezkoyler,otekece mah (ilyaslar koyu)
malatya,yesilyurt,merkez,ucgoze mah
kastamonu,tosya,merkezkoyler,merkez mah (keceli koyu)
duzce,merkez,konuralp,karaomer mah (duverduzu koyu)
denizli,pamukkale,karsiyaka,korucuk mah
zonguldak,devrek,egerci,tirkizlar mah (durupinar koyu)
ankara,gudul,merkez,boyali mah
isparta,yalvac,merkezkoyler,tepecik mah (baglarbasi koyu)
bolu,gerede,merkezkoyler,avcilar mah (yukariorenbasi koyu)
trabzon,caykara,merkez,akdogan mah
bitlis,hizan,merkezkoyler,ocak mah (meydan koyu)
karaman,merkez,hisar,gazidukkan mah
trabzon,hayrat,merkez,yarli mah
kirklareli,pinarhisar,merkezkoyler,hurriyet mah (yenice koyu)
giresun,kesap,merkezkoyler,hacihasan mah (baliklisu koyu)
diyarbakir,hani,merkez,akcayurt mah
kastamonu,merkez,merkezkoyler,cirakoglu mah (bahadir koyu)
gumushane,torul,merkezkoyler,k.yucebelen sep mezrasi mah (yucebelen koyu)
sanliurfa,hilvan,merkez,asagicatak mah
bolu,gerede,merkezkoyler,dere mah (kapakli koyu)
kayseri,tomarza,merkez,melikoren mah
giresun,gorele,merkezkoyler,kavrazli mah (recepli koyu)
sirnak,uludere,merkez,odul mah
corum,kargi,merkezkoyler,kizlar kiragi mah (cihadiye koyu)
ankara,bala,merkez,sarihuyuk mah
manisa,kula,merkez,bortluce mah
kirsehir,cicekdagi,merkezkoyler,demirli koyu
siirt,baykan,merkezkoyler,karatas mah (caykaya koyu)
afyonkarahisar,sinanpasa,merkezkoyler,yeni mah (guney koyu)
gaziantep,nurdagi,merkez,ikizkuyu mah
giresun,kesap,merkezkoyler,kiran mah (altinpinar koyu)
sivas,koyulhisar,merkezkoyler,kabaoglu mah (aksu koyu)
antalya,gazipasa,merkez,kahyalar mah
usak,esme,merkezkoyler,keklikli koyu
erzurum,hinis,merkez,beyyurdu mah
sanliurfa,haliliye,baglarbasi,yeroluk mah
canakkale,merkez,merkezkoyler,dardanos mah (cinarli koyu)
malatya,arapgir,merkez,budak mah
mus,bulanik,merkezkoyler,cumhuriyet mah
van,ercis,merkez,yesilova mah
erzurum,oltu,merkez,obayayla mah
bilecik,pazaryeri,merkezkoyler,esemen koyu
manisa,soma,merkez,hurriyet mah
kastamonu,senpazar,merkez,cevrik mah
cankiri,bayramoren,merkez,koprulubey mah
giresun,tirebolu,merkezkoyler,cardak kiran mah (asagiboynuyogun koyu)
konya,karapinar,merkez,ipekci mah
erzincan,tercan,merkezkoyler,cirnavuk mah (findikli koyu)
trabzon,salpazari,merkez,dorukkiris mah
giresun,espiye,merkezkoyler,karakas mah (aralicak koyu)
sanliurfa,haliliye,baglarbasi,kaygili mah
canakkale,merkez,merkezkoyler,kalafat koyu
karabuk,safranbolu,merkezkoyler,yukari mah (pelitoren koyu)
aydin,kocarli,merkez,zeytinkoy mah
kastamonu,azdavay,merkezkoyler,bal mah (sogutpinar koyu)
corum,osmancik,merkezkoyler,merkez mah (yenidanisment koyu)
sinop,merkez,merkezkoyler,kole mah (uzungurgen koyu)
ardahan,gole,merkezkoyler,gevrik mah (buyukaltinbulak koyu)
batman,merkez,merkezkoyler,unluce mah (oymatas koyu)
kastamonu,daday,merkezkoyler,fettah mah (sorkun koyu)
tunceli,ovacik,merkezkoyler,tuzluca mah (topuzlu koyu)
rize,ikizdere,merkezkoyler,guvenkoy koyu
kutahya,pazarlar,merkezkoyler,orey koyu
sivas,yildizeli,merkezkoyler,akpinarbeleni koyu
gumushane,kurtun,merkezkoyler,merkez mah (yukarikaradere koyu)
corum,alaca,merkezkoyler,ismailli koyu
van,caldiran,merkez,yukarikuyucak mah
karaman,merkez,hisar,mumine hatun mah
malatya,yesilyurt,merkez,bentbasi mah
sanliurfa,siverek,merkez,egricay mah
usak,esme,merkezkoyler,arikli mah (alahabali koyu)
hatay,antakya,haraparasi,saraycik mah
elazig,karakocan,merkezkoyler,can koyu
sinop,ayancik,merkezkoyler,hamdi mah (sofu koyu)
mersin,anamur,merkez,kukur mah
istanbul,sultangazi,sultanciftligi,sultanciftligi mah
giresun,gorele,merkezkoyler,yeniyol mah (catak koyu)
corum,bayat,merkezkoyler,merkez mah (saray koyu)
bayburt,merkez,merkezkoyler,cayirozu koyu
giresun,kesap,merkezkoyler,aydinli mah (dokuztepe koyu)
aydin,bozdogan,merkez,kemer mah
zonguldak,eregli,merkezkoyler,merkez mah (asagi mah) (danismentli koyu)
sivas,merkez,merkez-koyler,hanli koyu
sinop,boyabat,merkezkoyler,kayadibi mah (kilicli koyu)
istanbul,bahcelievler,yenibosna,zafer mah
ordu,altinordu,saraycik,dikence mah
burdur,yesilova,merkezkoyler,asagi mah (salda koyu)
usak,banaz,merkezkoyler,danaoglu mah (kizilhisar koyu)
ankara,polatli,merkez,beskopru mah
sivas,golova,merkezkoyler,bogazkoy koyu
corum,merkez,merkezkoyler,merkez mah (narlik koyu)
siirt,kurtalan,merkezkoyler,yenikoy mah (senkoy koyu)
bingol,adakli,merkezkoyler,sevkar koyu
sanliurfa,birecik,merkez,incirli mah
bursa,mustafakemalpasa,merkez,killik mah
igdir,tuzluca,merkezkoyler,gulluce koyu
aydin,soke,merkez,fevzipasa mah
kastamonu,ihsangazi,merkezkoyler,pelpo mah (akkirpi koyu)
amasya,hamamozu,merkezkoyler,kizilcaoren koyu
bayburt,aydintepe,merkezkoyler,pinargozu koyu
agri,patnos,sarisu,cubuklu mah (ergecli koyu)
gaziantep,sahinbey,merkez,bostancik mah
bilecik,merkez,merkezkoyler,kavakli koyu
mersin,toroslar,merkez,doruklu mah
sinop,dikmen,merkezkoyler,boldac mah (kerim koyu)
giresun,dereli,merkezkoyler,cilingir mah (yesiltepe koyu)
ankara,cankaya,maltepe,maltepe mah
giresun,bulancak,merkezkoyler,tatarli mah (tepecik koyu)
kastamonu,devrekani,merkezkoyler,godesler mah (yazihisar koyu)
corum,merkez,merkezkoyler,karaagac koyu
artvin,savsat,merkezkoyler,budakli mah (asagikoyunlu koyu)
ardahan,posof,merkezkoyler,cadeze mah (gunluce koyu)
bolu,goynuk,merkezkoyler,orta mah (bulanik koyu)
sinop,erfelek,merkezkoyler,cavusaga mah (incirpinari koyu)
artvin,savsat,merkezkoyler,karagol mah (arpali koyu)
erzincan,ilic,merkezkoyler,cilesiz koyu
bartin,amasra,merkez,kalesah mah
manisa,kula,merkez,kavacik mah
izmir,konak,kucukyali,mithatpasa mah
tunceli,merkez,merkezkoyler,asagi kavehek mz mah (anbar koyu)
balikesir,kepsut,servet,calkandil mah
konya,selcuklu,bosna,buyukkayacikosb mah
zonguldak,devrek,merkezkoyler,kolcakoglu mah (karabasli koyu)
amasya,merkez,merkezkoyler,hamdi apaydin cifligi mah (oluz koyu)
manisa,demirci,merkez,irisler mah
yozgat,akdagmadeni,merkez,gultepe mah
mugla,kavaklidere,merkez,derebag mah
isparta,egirdir,merkezkoyler,havutlu koyu
aksaray,merkez,merkezkoyler,buyukpornekler koyu
mugla,fethiye,merkez,eldirek mah
konya,ilgin,merkez,kalekoy mah
kastamonu,doganyurt,merkezkoyler,pancarlik mah (gozalan koyu)
kutahya,altintas,merkez,istiklal mah (cayirbasi koyu)
karabuk,safranbolu,merkezkoyler,sariahmetli koyu
rize,merkez,gundogdu(hamidiye),asagi mah (pekmezli koyu)
antalya,kumluca,merkez,yeni mah
kutahya,domanic,merkezkoyler,cumhuriyet mah (cukurca koyu)
rize,cayeli,merkezkoyler,turkgeldi mah (demirhisar koyu)
artvin,savsat,merkezkoyler,kocabey mah (kocabey koyu)
corum,osmancik,merkezkoyler,merkez mah (kamil koyu)
bingol,merkez,merkezkoyler,merkez mah (kartal koyu)
agri,tutak,merkezkoyler,bozkas koyu
bingol,genc,merkezkoyler,yamacli mah (geyikdere koyu)
batman,kozluk,merkezkoyler,irmak mah (arikaya koyu)
amasya,goynucek,merkezkoyler,kilise mah (karayakup koyu)
van,ercis,merkez,sabanbuken mah
sivas,koyulhisar,merkezkoyler,kalebasi koyu
antalya,kemer,beycik,ulupinar mah
duzce,golyaka,merkez koyler,cay koyu
mugla,bodrum,merkez,tepecik mah
artvin,savsat,merkezkoyler,merkez mah (dalkirmaz koyu)
kahramanmaras,turkoglu,merkez,doluca mah
sivas,zara,merkezkoyler,balliklar koyu
bingol,solhan,merkezkoyler,cemalan mah (hazarsah koyu)
kastamonu,arac,merkezkoyler,merkez mah (igdir koyu)
gumushane,siran,merkezkoyler,susuz koyu
eskisehir,tepebasi,cukurhisar,hasanbey mah
ankara,kecioren,sanatoryum,cicekli mah
giresun,merkez,batlama,citlakkale mah
samsun,19 mayis,ondokuz mayis ballica,cetirlipinar mah
kutahya,tavsanli,merkezkoyler,devekayasi koyu
hakkari,yuksekova,merkezkoyler,asagiuluyol koyu
bursa,yenisehir,merkez,yenikoy mah
van,ercis,merkez,kirkpinar mah
gaziantep,sehitkamil,merkez,erikli mah
usak,ulubey,merkezkoyler,hanyeri koyu
afyonkarahisar,bolvadin,merkez,bucak mah
kastamonu,inebolu,merkezkoyler,topal mustafaoglu mah (cubuk koyu)
gumushane,siran,merkezkoyler,yesilyurt mah (yesilbuk koyu)
adana,yuregir,alihocali,tasci mah
canakkale,ayvacik,merkezkoyler,ahmetce koyu
balikesir,kepsut,servet,bektaslar mah
nigde,ciftlik,merkezkoyler,yeni mah (divarli koyu)
gaziantep,oguzeli,merkez,cumhuriyet mah
ardahan,gole,merkezkoyler,cullu koyu
ankara,bala,merkez,asagihacibekir mah
sirnak,idil,merkezkoyler,yukari yavsan mah (yavsan koyu)
sinop,ayancik,merkezkoyler,mudan mah (maden koyu)
giresun,tirebolu,merkezkoyler,mehdili mah (karademir koyu)
sivas,gurun,merkezkoyler,ergec mezrasi mah (kavakkoy koyu)
corum,bayat,merkezkoyler,horozlar mah (ilegi koyu)
ankara,haymana,merkez,eskikisla mah
usak,banaz,merkezkoyler,okul mah (derbent koyu)
artvin,merkez,merkezkoyler,asagi mah (tutunculer koyu)
sivas,susehri,merkezkoyler,gokcekent karaagac koyu
yozgat,bogazliyan,merkezkoyler,hurriyet mah (devecipinar koyu)
kastamonu,azdavay,merkezkoyler,yayla mah (alacik koyu)
corum,merkez,merkezkoyler,hankozlusu koyu
hakkari,yuksekova,merkezkoyler,ikizler mah (gurkavak koyu)
batman,sason,merkezkoyler,elmapinar mezra mah (kasyayla koyu)
rize,findikli,merkezkoyler,taskesik mah (caglayan koyu)
gaziantep,sahinbey,hosgor,kahvelipinar mah
kastamonu,cide,merkezkoyler,yukari kozak mah (isakoy koyu)
bartin,amasra,merkezkoyler,dada mah (esenler koyu)
hatay,erzin,merkez,yukariburnaz mah
canakkale,gelibolu,evrese,armutdere1 mah (adilhan koyu)
balikesir,erdek,belkis,sahinburgaz mah
sivas,akincilar,merkezkoyler,avsar koyu
zonguldak,caycuma,persembe,merkez mah (madenler koyu)
agri,tutak,merkezkoyler,burnubulak koyu
kastamonu,devrekani,merkezkoyler,beylik mah (seyhbali koyu)
izmir,bergama,merkez,asagikiriklar mah
siirt,sirvan,cevizlik,ayn kebir mah (kesmetas koyu)
diyarbakir,cinar,merkez,cumhuriyet mah
van,tusba,iskele,comakli mah
igdir,tuzluca,merkezkoyler,gedikli koyu
karaman,ermenek,kazanci,tepecik mah (kazanci koyu)
bolu,goynuk,merkezkoyler,muratlar mah (sunnet koyu)
kahramanmaras,dulkadiroglu,sanayi,seyh samil mah
mugla,koycegiz,merkez,yangi mah
izmir,tire,merkez,kireli mah
malatya,darende,merkez,mediseyh mah
bolu,mengen,merkezkoyler,dortyol mah (agalar koyu)
kastamonu,bozkurt,merkezkoyler,orta mah (gorentas koyu)
manisa,sehzadeler,merkez,yenikoy mah
giresun,canakci,merkez,kuz mah (yesilkoy koyu)
kars,kagizman,merkezkoyler,karacaoren koyu
giresun,tirebolu,merkezkoyler,kayadibi mah (yukariortacami koyu)
konya,cumra,merkez,yenisu mah
elazig,sivrice,merkezkoyler,dortboluk koyu
aydin,cine,merkez,bucak mah
adiyaman,besni,merkezkoyler,kocapirli mah (egerli koyu)
trabzon,ortahisar,besirli,yesiltepe mah
bolu,mengen,merkezkoyler,veliler mah (cukurca koyu)
karabuk,safranbolu,merkezkoyler,alabasoglu mah (nebioglu koyu)
kocaeli,dilovasi,merkez,koseler mah
ardahan,gole,merkezkoyler,kuzupinari mah (koprulu koyu)
kayseri,talas,talas koyler,basakpinar yildiztepe mah
giresun,dogankent,merkezkoyler,orta mah (gudul koyu)
mersin,tarsus,yukari koyler,emirler mah
mugla,seydikemer,merkez,ugurlu mah
konya,ilgin,merkez,ayvatdede mah
bursa,orhaneli,merkez,fevzipasa mah
mersin,anamur,merkez,sugozu mah
yozgat,merkez,yozgat,istanbulluoglu mah
manisa,demirci,merkez,cardakli mah
giresun,gorele,merkezkoyler,kircali mah (ardic koyu)
manisa,soma,merkez,karamanli mah
rize,camlihemsin,merkezkoyler,tepecik mah (komilo koyu)
zonguldak,alapli,merkezkoyler,merkez mah (belen koyu)
artvin,yusufeli,merkezkoyler,caliskanlar mah (kirazalan koyu)
bursa,yildirim,esenevler,erikli mah
malatya,doganyol,merkez,colak mah
elazig,baskil,merkezkoyler,kirhasan mah (cigdemlik koyu)
duzce,merkez,konuralp,kara agac mah (gunbasi koyu)
gumushane,kurtun,merkez,yukari ulukoy mah
kastamonu,merkez,merkezkoyler,ericek mah (basoren koyu)
agri,eleskirt,merkezkoyler,cumhuriyet mah (yayladuzu koyu)
bilecik,bozuyuk,merkez,4 eylul mah
bolu,gerede,merkezkoyler,yayla mah (sarioglu koyu)
kastamonu,tosya,merkezkoyler,merkez mah (cevlik koyu)
adiyaman,sincik,merkezkoyler,ugurlu koyu
samsun,carsamba,merkez,ustacali mah
ordu,ikizce,merkez,agcaalan mah
bingol,genc,merkezkoyler,tasoren mah (direkli koyu)
van,gurpinar,merkez,cevizalan mah
bursa,iznik,merkez,suleymaniye mah
corum,bayat,merkezkoyler,yazlik mah (kunduzlu koyu)
bartin,merkez,merkezkoyler,merkez mah (yildiz koyu)
sanliurfa,viransehir,merkez,saticik mah
duzce,merkez,konuralp,merkez mah (taskopru koyu)
kastamonu,azdavay,merkezkoyler,zeyfe mah (alacik koyu)
amasya,merzifon,merkezkoyler,karamagara koyu
kastamonu,devrekani,merkezkoyler,yeni mah (habesli koyu)
mus,varto,merkez,gumgum mah
mus,merkez,merkezkoyler,dahal mah (cevizlidere koyu)
izmir,cesme,merkez,reisdere mah
giresun,merkez,merkezkoyler,karaosmanoglu mah (akkoy koyu)
bursa,osmangazi,alemdar,soganli mah
izmir,konak,alsancak,kultur mah
kastamonu,pinarbasi,merkezkoyler,satir mah (cengel koyu)
balikesir,bandirma,edincik,golyaka mah
nevsehir,gulsehir,merkezkoyler,hurriyet mah (yesiloz koyu)
corum,merkez,merkezkoyler,bademli mah (yakuparpa koyu)
kayseri,kocasinan,gunesli,gunesli kale mah
gumushane,merkez,merkezkoyler,ispatan mah (gungoren koyu)
balikesir,gonen,sarikoy,gebecinar mah
ankara,beypazari,merkez,geyikpinari mah
batman,sason,merkezkoyler,guvercinlik koyu
duzce,cumayeri,merkezkoyler,sakir mah (ordulukaradere koyu)
bingol,merkez,sancak,merkez mah (baliklicay koyu)
giresun,dereli,merkezkoyler,alt mah (kucukahmet koyu)
giresun,kesap,merkezkoyler,delicioglu mah (hisarustu koyu)
konya,karatay,merkez,divanlar mah
mersin,anamur,merkez,karadere mah
kirsehir,kaman,merkezkoyler,hicret mah (demirli koyu)
kocaeli,izmit,yenisehir,yenisehir mah
sinop,gerze,merkezkoyler,koruz mah (sorkun koyu)
bartin,ulus,kumluca,marazoglu mah (dogankoy koyu)
kastamonu,azdavay,merkezkoyler,musellim mah (kayaoglu koyu)
hatay,payas,merkez,yenisehir mah
erzincan,refahiye,merkezkoyler,kamberaga koyu
usak,merkez,merkezkoyler,belkaya koyu
kars,kagizman,merkezkoyler,yaglica koyu
yalova,ciftlikkoy,merkezkoyler,merkez mah (laledere koyu)
sinop,boyabat,merkezkoyler,tepedelik mah (yesilyurt koyu)
samsun,atakum,merkez,balac mah
kastamonu,kure,merkezkoyler,diprecci mah (ahmetbese koyu)
samsun,19 mayis,ondokuz mayis ballica,dagkoy mah
afyonkarahisar,cobanlar,merkezkoyler,ataturk mah (kocaoz koyu)
kars,digor,merkezkoyler,karabag koyu
bingol,merkez,merkezkoyler,korcupinar mah (cukurca koyu)
sivas,ulas,merkez,esentepe mah
istanbul,sariyer,bahcekoy,bahcekoy merkez mah
bilecik,pazaryeri,merkezkoyler,ahmetler koyu
giresun,merkez,merkezkoyler,kemaliye koyu
artvin,yusufeli,merkezkoyler,kayabasi mah (yaylalar koyu)
eskisehir,seyitgazi,merkez,gokceguney mah
bursa,mustafakemalpasa,merkez,garipcetekke mah
mersin,mut,merkez,ibrahimli mah
karabuk,eflani,merkezkoyler,rahmanlar mah (ulugecit koyu)
corum,osmancik,merkezkoyler,merkez mah (ardic koyu)
bartin,merkez,merkezkoyler,kasikci mah (cukurbuk koyu)
erzincan,tercan,merkezkoyler,kuruk mezrasi mah (yaylim koyu)
cankiri,cerkes,merkezkoyler,kadiozu koyu
kastamonu,merkez,merkezkoyler,gobel mah (yilanci koyu)
konya,derbent,merkez,haci ahmet mah
bolu,merkez,merkezkoyler,musa mah (kuzorenemirler koyu)
kutahya,cavdarhisar,merkezkoyler,camii kebir mah (hacikebir koyu)
izmir,karabaglar,hatay,basin sitesi mah
aksaray,ortakoy,merkezkoyler,yigitler mah (devedami koyu)
karabuk,merkez,merkezkoyler,merkez mah (kilavuzlar koyu)
konya,aksehir,kurucay,atakent mah
usak,esme,merkezkoyler,sandal mah (agabey koyu)
denizli,serinhisar,merkez,yenice mah
erzincan,ilic,merkezkoyler,kayacik koyu
bolu,mudurnu,merkezkoyler,asagi mah (cevreli koyu)
bolu,mudurnu,merkezkoyler,merkez mah (kilozu koyu)
batman,kozluk,merkezkoyler,sati mah (eskice koyu)
istanbul,sariyer,istinye,poligon mah
zonguldak,devrek,egerci,ismelcioglu mah (serdaroglu koyu)
bitlis,hizan,merkezkoyler,bagbasi mah (agilozu koyu)
zonguldak,merkez,merkezkoyler,merkez cagli mah (cagli koyu)
usak,esme,merkezkoyler,farsakdere mah (delibasli koyu)
kastamonu,inebolu,merkezkoyler,gocenoglu mah (samaoglu koyu)
sakarya,adapazari,karaman,korucuk mah
bartin,ulus,kumluca,kulaklar mah (onculer koyu)
bolu,gerede,merkezkoyler,yayla mah (kazanlar koyu)
giresun,tirebolu,merkezkoyler,deregozu mah (kuzgun koyu)
kahramanmaras,pazarcik,merkez,sakarkaya mah
malatya,kuluncak,merkez,basoren mah
denizli,civril,merkez,sehitler mah
elazig,aricak,merkezkoyler,kayahisar koyu
burdur,merkez,merkezkoyler,sigirbiriken mah (kayaalti koyu)
van,ercis,merkez,kekiksirti mah
tunceli,mazgirt,merkezkoyler,haci yusuf mah (dogucak koyu)
bartin,merkez,kozcagiz,kiranpazari mah (ustaoglu koyu)
sanliurfa,suruc,merkez,bellik mah
antalya,manavgat,merkez,sirtkoy mah
aydin,kocarli,merkez,gozkaya mah
cankiri,ilgaz,merkezkoyler,sagirlar koyu
sivas,golova,merkezkoyler,yuvacik koyu
yozgat,cayiralan,merkezkoyler,sobecimen koyu
zonguldak,alapli,merkezkoyler,okuf mah (kurkukler koyu)
kayseri,bunyan,merkez,burhaniye mah
elazig,merkez,hankendi,savusagi mah (kocharmani koyu)
agri,patnos,merkez,inonu mah
canakkale,merkez,merkezkoyler,ozbek koyu
bitlis,mutki,merkezkoyler,cevreli mah (citliyol koyu)
kars,kagizman,merkezkoyler,asagitut koyu
giresun,canakci,merkez,yukari mah (akkoy koyu)
adana,karatas,merkez,hacihasan mah
kutahya,domanic,merkezkoyler,durabey koyu
karabuk,eskipazar,merkezkoyler,oren mah (gozlu koyu)
zonguldak,kilimli,merkez,damarli mah
denizli,cal,merkez,karapinar mah
erzincan,refahiye,merkezkoyler,ucoren koyu
usak,ulubey,merkezkoyler,yenice mah (ishaklar koyu)
sanliurfa,birecik,merkez,cogan mah
mugla,yatagan,merkez,esenkoy mah
elazig,baskil,merkezkoyler,temurhalil mah (yukarikulusagi koyu)
mus,bulanik,erentepe,alagez mah (uzgorur koyu)
corum,merkez,ulukavak,ulukavak mah
kirsehir,boztepe,merkezkoyler,camalak koyu
sinop,boyabat,merkezkoyler,organize sanayi bolgesi mah (maruf koyu)
elazig,merkez,merkezkoyler,merkez mah (yurekli koyu)
izmir,bornova,merkez,ergene mah
sinop,boyabat,merkezkoyler,merkez mah (yenicamili koyu)
manisa,demirci,merkez,kucukoba mah
kayseri,bunyan,merkez,karacaoren mah
batman,kozluk,merkezkoyler,adnan menderes mah (bekirhan koyu)
duzce,merkez,konuralp,petekli mah (kurtsuyu koyu)
corum,osmancik,merkezkoyler,karacakaya mah (karalarguney koyu)
kastamonu,cide,merkezkoyler,dilek mah (gokceoren koyu)
rize,cayeli,merkezkoyler,merkez mah (beyazsu koyu)
giresun,gorele,merkezkoyler,asagi mah (akharman koyu)
afyonkarahisar,sandikli,merkezkoyler,baskuyucak koyu
afyonkarahisar,bayat,merkezkoyler,mallica koyu
bayburt,merkez,merkezkoyler,merkez mah (tasocagi koyu)
trabzon,dernekpazari,merkez,gulen mah
sakarya,arifiye,merkez,hacikoy mah
sivas,imranli,merkezkoyler,huseyin onbasi mah (kapikaya koyu)
kastamonu,cide,merkezkoyler,yukari alaca mah (pehlivanli koyu)
kastamonu,taskopru,merkezkoyler,kapucu mah (sahincati koyu)
kastamonu,azdavay,merkezkoyler,merkez mah (karakuslu koyu)
elazig,sivrice,merkezkoyler,bekirgolu mah (gozeli koyu)
tunceli,pertek,merkezkoyler,karabulut mah (dere koyu)
kastamonu,agli,merkezkoyler,halil mah (kabaci koyu)
tunceli,nazimiye,merkezkoyler,kale mah (asagidoluca koyu)
kastamonu,merkez,merkezkoyler,zulen mah (seremittin koyu)
gumushane,merkez,merkezkoyler,saphane yaylasi mah (sephane koyu)
burdur,yesilova,merkezkoyler,koyici mah (alankoy koyu)
balikesir,kepsut,servet,ovacik mah
rize,merkez,gundogdu(hamidiye),asagi mah (velikoy koyu)
karabuk,eflani,merkezkoyler,karacabey mah (haciagac koyu)
kilis,musabeyli,merkezkoyler,firlakli koyu
tokat,niksar,merkezkoyler,ustahasan koyu
konya,aksehir,kurucay,tipikoy mah
samsun,carsamba,merkez,akkuzulu mah
